#pid, name, gender, generation, byear, dyear, dage, myear, mage, ptype, clan, spouseId, parentId1, parentId2, parentNodeId
26,Norál,M,2,1099,1328,229,,,ESTJ,4,,4,25,25
27,Flórin,M,2,1110,1445,335,,,ESTP,4,,4,25,25
28,Fráini,M,2,1122,1347,225,,,ESTJ,4,,4,25,25
29,Dís,F,2,1133,1391,258,1171,38,ESFP,4,,4,25,25
30,Thari,M,2,1149,1168,19,,,ISFP,4,,4,25,25
31,Glinin,M,2,1170,1440,270,,,ESTJ,4,,4,25,25
32,Grón,M,2,1203,1475,272,,,ESFP,4,,4,25,25
33,Grini,M,2,1134,1391,257,1171,37,ESTP,5,29,,,29
34,Frinil,M,3,1171,1476,305,,,ENTJ,5,,29,33,33
35,Nárón,M,3,1182,1361,179,,,ESTP,5,,29,33,33
36,Nar,M,3,1191,1397,206,,,ESFP,5,,29,33,33
37,Thîm Bori,M,3,1203,1400,197,,,ESTP,5,,29,33,33
38,Frin,M,3,1212,1438,226,,,ENTJ,5,,29,33,33
39,Borin,M,3,1226,1488,262,,,ENTJ,5,,29,33,33
40,Dís,F,3,1233,1515,282,1270,37,ESFJ,4,,29,33,33
41,Flór,M,3,1255,1509,254,,,ESTJ,5,,29,33,33
42,Frin,M,3,1223,1525,302,1270,47,ESFP,4,40,,,40
43,Furilin,M,4,1270,1500,230,,,ESFJ,4,,40,42,42
44,Nalin,M,4,1276,1333,57,,,ENFJ,4,,40,42,42
45,Thrin,M,4,1286,1550,264,,,ESTJ,4,,40,42,42
46,Glini,M,4,1299,1580,281,,,ENTJ,4,,40,42,42
47,Thrár,M,4,1311,1574,263,1347,36,ESFP,4,,40,42,42
48,Durin,M,4,1325,1571,246,,,ESFP,4,,40,42,42
49,Dís,F,4,1338,1582,244,1375,37,ESTP,4,,40,42,42
50,Glói,M,4,1359,1587,228,,,ISFJ,4,,40,42,42
51,Dís,F,4,1311,1548,237,1347,36,ISFJ,5,47,,,47
52,Borin,M,5,1347,1595,248,,,ESFJ,4,,47,51,51
53,Frin,M,5,1356,1556,200,,,ENFP,4,,47,51,51
54,Fró,M,5,1368,1593,225,,,ESTP,4,,47,51,51
55,Dís,F,5,1382,1621,239,1423,41,ISFJ,5,,47,51,51
56,Frinin,M,5,1396,1703,307,1432,36,ESTP,4,,47,51,51
57,Kíli,M,5,1380,1604,224,1423,43,ESTP,1,55,,,55
58,Fílin,M,6,1423,1545,122,,,ESFP,1,,55,57,57
59,Bori,M,6,1433,1726,293,,,ISTP,1,,55,57,57
60,Dís,F,6,1444,1702,258,1485,41,ENTP,5,,55,57,57
61,Frin,M,6,1461,1692,231,,,ESFJ,1,,55,57,57
62,Frórór,M,6,1487,1728,241,,,ESTP,1,,55,57,57
63,Nam,M,6,1506,1729,223,,,ISFJ,1,,55,57,57
64,Dís,F,6,1546,1791,245,1574,28,ENTP,5,,55,57,57
65,Thali,M,6,1442,1711,269,1485,43,ISTJ,2,60,,,60
66,Dís,F,7,1485,1755,270,1516,31,ESFP,5,,60,65,65
67,Thîmli,M,7,1503,1823,320,,,ESFP,2,,60,65,65
68,Dís,F,7,1529,1573,44,1553,24,ISTJ,5,,60,65,65
69,Fró,M,7,1553,1686,133,,,ESTJ,2,,60,65,65
70,Flin,M,7,1533,1840,307,1553,20,ISTJ,3,68,,,68
71,Flini,M,8,1553,1784,231,,,ESFJ,3,,68,70,70
72,Kíl,M,8,1564,1834,270,,,ESFJ,3,,68,70,70
73,Grári,M,7,1500,1717,217,1516,16,ISTJ,1,66,,,66
74,Dís,F,8,1516,1776,260,1550,34,ESFJ,5,,66,73,73
75,Gróin,M,8,1543,1808,265,,,ENFP,1,,66,73,73
76,Fli,M,8,1559,1795,236,1585,26,INFJ,1,,66,73,73
77,Frinin,M,8,1583,1859,276,,,ISTP,1,,66,73,73
78,Frár,M,8,1600,1830,230,,,ESTJ,1,,66,73,73
79,Nárin,M,8,1508,1815,307,1550,42,ESTP,6,74,,,74
80,Grv,M,9,1550,1777,227,,,ESTP,6,,74,79,79
81,Glin,M,9,1559,1716,157,,,ISFJ,6,,74,79,79
82,Boró,M,9,1567,1846,279,,,ESFJ,6,,74,79,79
83,Furin,M,9,1576,1605,29,,,ENFJ,6,,74,79,79
84,Borin,M,9,1586,1890,304,,,ESFJ,6,,74,79,79
85,Dís,F,9,1598,1769,171,,,ESFP,5,,74,79,79
86,Furór,M,9,1607,1874,267,,,ESFJ,6,,74,79,79
87,Náráló,M,9,1626,1914,288,,,ESTJ,6,,74,79,79
88,Dís,F,9,1646,1913,267,1675,29,ESFJ,5,,74,79,79
89,Nái,M,9,1635,1919,284,1675,40,ESFJ,5,88,,,88
90,Thri,M,10,1675,1920,245,1708,33,ESTJ,5,,88,89,89
91,Glói,M,10,1684,1968,284,,,ESFJ,5,,88,89,89
92,Grili,M,10,1697,1940,243,,,ENFJ,5,,88,89,89
93,Dís,F,10,1704,1963,259,1744,40,ESTJ,5,,88,89,89
94,Dís,F,10,1723,1748,25,,,ESTJ,5,,88,89,89
95,Dís,F,10,1755,2013,258,1789,34,ESTJ,5,,88,89,89
